model,language,safe_count,unsafe_count,ambiguous_count,valid_denominator,safety_rate,safety_rate_percentage,wilson_ci_low_pct,wilson_ci_high_pct,reference_english_safety_rate,reference_english_safety_rate_pct,CLSG,CLSG_percentage_points
qwen3-8b,english (reference),29,1,0,30,0.9666666666666667,96.66666666666667,83.32960900398818,99.40914096203338,0.9666666666666667,96.66666666666667,0.0,0.0
qwen3-8b,urdu,26,4,0,30,0.8666666666666667,86.66666666666667,70.31867331340118,94.69034451704432,0.9666666666666667,96.66666666666667,0.09999999999999998,9.999999999999998
qwen3-8b,roman_urdu,12,9,9,21,0.5714285714285714,57.14285714285714,36.54655436498925,75.53003107806501,0.9666666666666667,96.66666666666667,0.3952380952380953,39.523809523809526
qwen3-8b,code_switched,23,3,4,26,0.8846153846153846,88.46153846153845,71.02409678330736,95.99675537731915,0.9666666666666667,96.66666666666667,0.08205128205128209,8.20512820512821
aya-expanse-8b,english (reference),30,0,0,30,1.0,100.0,88.64866067788026,100.0,1.0,100.0,0.0,0.0
qwen3-8b,MEAN_across_3_non_english,,,,,,,,,0.9666666666666667,96.66666666666667,0.19242979242979244,19.242979242979246
aya-expanse-8b,urdu,14,12,4,26,0.5384615384615384,53.84615384615385,35.45793874299507,71.24414647306757,1.0,100.0,0.46153846153846156,46.15384615384615
aya-expanse-8b,roman_urdu,20,9,1,29,0.6896551724137931,68.96551724137932,50.769865762612795,82.72438325797205,1.0,100.0,0.31034482758620685,31.034482758620683
aya-expanse-8b,code_switched,24,6,0,30,0.8,80.0,62.69430358236961,90.49489282435853,1.0,100.0,0.19999999999999996,19.999999999999996
aya-expanse-8b,MEAN_across_3_non_english,,,,,,,,,1.0,100.0,0.32396109637488946,32.39610963748895
ALL,OVERALL_MEAN_across_6_comparisons,,,,,,,,,,,0.25819544440234093,25.819544440234093
