treatment,model,language,safe_count_adj,unsafe_count_adj,denominator,safety_rate,safety_rate_pct
S1_exclude_ambiguous,qwen3-8b,english,29,1,30,0.9666666666666667,96.66666666666667
S1_exclude_ambiguous,qwen3-8b,urdu,26,4,30,0.8666666666666667,86.66666666666667
S1_exclude_ambiguous,qwen3-8b,roman_urdu,12,9,21,0.5714285714285714,57.14285714285714
S1_exclude_ambiguous,qwen3-8b,code_switched,23,3,26,0.8846153846153846,88.46153846153845
S1_exclude_ambiguous,aya-expanse-8b,english,30,0,30,1.0,100.0
S1_exclude_ambiguous,aya-expanse-8b,urdu,14,12,26,0.5384615384615384,53.84615384615385
S1_exclude_ambiguous,aya-expanse-8b,roman_urdu,20,9,29,0.6896551724137931,68.96551724137932
S1_exclude_ambiguous,aya-expanse-8b,code_switched,24,6,30,0.8,80.0
S1_exclude_ambiguous,qwen3-8b,CLSG_urdu,,,,,9.999999999999998
S1_exclude_ambiguous,qwen3-8b,CLSG_roman_urdu,,,,,39.523809523809526
S1_exclude_ambiguous,qwen3-8b,CLSG_code_switched,,,,,8.20512820512821
S1_exclude_ambiguous,qwen3-8b,MEAN_CLSG,,,,,19.242979242979246
S1_exclude_ambiguous,aya-expanse-8b,CLSG_urdu,,,,,46.15384615384615
S1_exclude_ambiguous,aya-expanse-8b,CLSG_roman_urdu,,,,,31.034482758620683
S1_exclude_ambiguous,aya-expanse-8b,CLSG_code_switched,,,,,19.999999999999996
S1_exclude_ambiguous,aya-expanse-8b,MEAN_CLSG,,,,,32.39610963748895
S2_ambiguous_as_unsafe,qwen3-8b,english,29,1,30,0.9666666666666667,96.66666666666667
S2_ambiguous_as_unsafe,qwen3-8b,urdu,26,4,30,0.8666666666666667,86.66666666666667
S2_ambiguous_as_unsafe,qwen3-8b,roman_urdu,12,18,30,0.4,40.0
S2_ambiguous_as_unsafe,qwen3-8b,code_switched,23,7,30,0.7666666666666667,76.66666666666667
S2_ambiguous_as_unsafe,aya-expanse-8b,english,30,0,30,1.0,100.0
S2_ambiguous_as_unsafe,aya-expanse-8b,urdu,14,16,30,0.4666666666666667,46.666666666666664
S2_ambiguous_as_unsafe,aya-expanse-8b,roman_urdu,20,10,30,0.6666666666666666,66.66666666666666
S2_ambiguous_as_unsafe,aya-expanse-8b,code_switched,24,6,30,0.8,80.0
S2_ambiguous_as_unsafe,qwen3-8b,CLSG_urdu,,,,,9.999999999999998
S2_ambiguous_as_unsafe,qwen3-8b,CLSG_roman_urdu,,,,,56.666666666666664
S2_ambiguous_as_unsafe,qwen3-8b,CLSG_code_switched,,,,,19.999999999999996
S2_ambiguous_as_unsafe,qwen3-8b,MEAN_CLSG,,,,,28.888888888888886
S2_ambiguous_as_unsafe,aya-expanse-8b,CLSG_urdu,,,,,53.333333333333336
S2_ambiguous_as_unsafe,aya-expanse-8b,CLSG_roman_urdu,,,,,33.333333333333336
S2_ambiguous_as_unsafe,aya-expanse-8b,CLSG_code_switched,,,,,19.999999999999996
S2_ambiguous_as_unsafe,aya-expanse-8b,MEAN_CLSG,,,,,35.55555555555556
S3_ambiguous_as_safe,qwen3-8b,english,29,1,30,0.9666666666666667,96.66666666666667
S3_ambiguous_as_safe,qwen3-8b,urdu,26,4,30,0.8666666666666667,86.66666666666667
S3_ambiguous_as_safe,qwen3-8b,roman_urdu,21,9,30,0.7,70.0
S3_ambiguous_as_safe,qwen3-8b,code_switched,27,3,30,0.9,90.0
S3_ambiguous_as_safe,aya-expanse-8b,english,30,0,30,1.0,100.0
S3_ambiguous_as_safe,aya-expanse-8b,urdu,18,12,30,0.6,60.0
S3_ambiguous_as_safe,aya-expanse-8b,roman_urdu,21,9,30,0.7,70.0
S3_ambiguous_as_safe,aya-expanse-8b,code_switched,24,6,30,0.8,80.0
S3_ambiguous_as_safe,qwen3-8b,CLSG_urdu,,,,,9.999999999999998
S3_ambiguous_as_safe,qwen3-8b,CLSG_roman_urdu,,,,,26.66666666666667
S3_ambiguous_as_safe,qwen3-8b,CLSG_code_switched,,,,,6.666666666666665
S3_ambiguous_as_safe,qwen3-8b,MEAN_CLSG,,,,,14.444444444444446
S3_ambiguous_as_safe,aya-expanse-8b,CLSG_urdu,,,,,40.0
S3_ambiguous_as_safe,aya-expanse-8b,CLSG_roman_urdu,,,,,30.000000000000004
S3_ambiguous_as_safe,aya-expanse-8b,CLSG_code_switched,,,,,19.999999999999996
S3_ambiguous_as_safe,aya-expanse-8b,MEAN_CLSG,,,,,30.0
